#{"t_start": 1768594087.1687405, "env_id": "None"}
r,l,t
32.848514,251,4.826247
8.255714,251,6.632205
73.741083,251,8.591777
22.250389,251,10.597559
7.244086,251,12.336985
39.887658,251,14.440616
36.495259,251,16.31402
29.848578,251,18.304474
70.488838,251,49.653538
68.969688,251,51.389716
5.38025,251,53.162602
50.846163,251,54.86727
11.320656,251,56.660284
12.141653,251,58.442982
61.211439,251,60.270397
21.636279,251,62.121365
7.304877,251,92.09482
-19.815485,251,93.953488
-17.672959,251,95.728991
16.56808,54,96.15074
24.864376,70,96.630614
-2.327042,251,98.452072
53.759851,79,98.990905
-11.856792,251,100.810215
50.867745,251,102.559585
31.145447,251,104.430352
12.983014,39,104.679245
-11.644417,148,133.937211
4.046995,251,135.657459
16.548957,54,136.102655
-32.25418,251,137.807255
24.305094,251,139.507421
9.068005,251,141.335793
-46.911748,251,143.088727
22.583754,65,143.513032
63.609965,101,144.285737
45.33538,109,145.071764
2.632548,251,146.833114
-7.179316,251,176.988259
40.466473,79,177.535902
40.013787,51,177.964771
37.105747,57,178.348426
24.226731,251,180.148336
21.228565,69,180.620161
22.062534,73,181.10408
28.250676,251,182.974017
55.220421,251,184.814447
-12.497346,251,186.624732
-42.144149,251,188.33326
15.413215,40,188.670266
20.474772,138,189.681568
20.317966,251,219.852703
19.257947,46,220.216558
31.072464,251,221.873348
43.021721,251,223.702644
0.577818,251,225.530013
-3.333517,109,226.288212
14.265726,251,228.533114
-0.003138,251,230.433871
47.54669,81,230.985695
37.808987,251,232.817089
26.124936,51,233.210805
-28.295567,251,263.598318
82.967125,251,265.351962
-26.103527,251,267.16564
12.94486,251,268.971369
22.040713,50,269.360438
79.504686,251,271.126551
54.106798,251,272.886521
38.335612,251,274.737807
33.185708,73,275.235899
21.771672,45,275.59469
28.060312,56,276.008527
50.659941,251,278.089617
40.263151,251,308.168371
-24.855902,251,309.962526
29.838008,251,311.793963
35.266301,251,313.589053
31.390542,44,313.908773
63.078654,251,315.729927
22.691808,62,316.174416
70.929837,73,316.676399
23.607557,50,317.062121
14.925547,81,317.646142
36.434149,51,318.103256
45.617475,62,318.536746
41.357513,251,320.396255
50.319742,66,320.872725
45.61838,251,351.592546
87.216762,251,353.486291
77.719454,105,354.172997
6.363264,251,356.045238
61.102346,251,357.713451
42.601927,65,358.237953
36.912231,251,360.095482
29.066987,251,361.887881
49.480623,85,362.553738
14.178455,70,362.995794
95.96325,64,363.41984
72.453029,251,365.315336
76.754493,112,394.530612
46.887328,251,396.328713
40.969033,172,397.561897
19.789587,251,399.360562
49.310269,251,401.166236
11.146406,251,402.931389
52.68238,90,403.575405
51.369229,251,405.392393
50.781813,131,406.307782
61.285053,251,408.083925
77.404331,251,438.414488
95.512194,251,440.187166
63.433656,125,441.153515
34.816159,83,441.728303
24.167702,57,442.120317
58.007962,105,442.890666
54.471936,251,444.593605
74.802265,251,446.381171
81.205289,80,446.963629
35.638171,92,447.676524
91.204934,251,449.401453
47.536833,59,449.882493
61.259619,105,450.628543
53.419011,251,480.779497
48.117868,65,481.22682
60.283166,251,483.002516
38.793987,251,484.809112
28.113613,55,485.241446
63.223263,251,486.971072
90.680654,251,488.751763
47.963148,68,489.260822
86.049084,251,491.015526
124.091236,171,492.280038
17.852004,56,492.684142
30.41568,110,493.469451
44.589275,57,493.898326
61.02639,251,524.083652
95.647277,251,525.904787
2.547389,82,526.444546
79.391609,165,527.678194
58.09325,251,529.54477
75.67738,251,531.288543
86.781983,251,533.103157
43.212919,251,534.909438
55.267599,251,536.757052
85.02351,251,567.019288
66.663674,58,567.428676
96.240093,251,569.184121
63.365242,251,570.990788
76.916502,251,572.80036
47.055853,97,573.4123
44.87472,146,574.534165
86.879083,251,576.479666
73.040476,116,577.358794
75.008184,251,579.170532
94.121135,142,580.153397
71.834286,99,580.893795
101.055431,251,611.278877
54.807232,251,613.157284
81.997851,251,614.953343
67.696565,251,616.708821
112.400125,251,618.517002
39.982007,78,619.070747
59.155379,251,620.838226
83.774525,251,622.634809
55.275153,126,623.59139
53.607227,251,655.111151
51.202926,102,655.862699
27.476108,251,657.624027
88.066721,251,659.491081
41.356639,251,661.201512
73.948357,251,663.035801
47.259866,103,663.862718
92.193442,135,664.758231
76.584867,104,665.549192
82.789437,251,667.462141
112.088906,251,697.775897
69.946798,244,699.531731
56.757514,251,701.279843
40.851688,251,703.069331
112.266933,244,704.864716
73.381496,92,705.506674
78.208324,226,707.167762
64.381074,130,708.013687
61.697227,251,709.9566
134.713215,230,711.650893
98.416682,209,741.626713
78.007824,251,743.404385
114.717974,250,745.248795
68.485483,251,747.094692
120.871505,251,748.913351
102.3461,251,750.685411
76.671197,101,751.43546
87.766526,251,753.280528
98.114402,230,754.828137
62.952777,251,784.920933
42.594066,127,785.811398
121.068783,251,787.68689
110.196705,251,789.574532
124.521509,231,791.371966
97.345097,84,791.966532
52.119011,139,792.954086
80.083066,220,794.533819
76.763407,86,795.167197
58.812633,93,795.89501
116.098367,234,797.532112
95.278293,251,827.572776
76.735238,140,828.505689
47.958176,113,829.452979
116.112014,193,830.853774
61.054576,102,831.671685
89.169303,233,833.307961
145.955825,248,835.112835
100.858154,120,836.029996
98.307154,251,837.740626
85.954469,251,839.58913
82.046148,220,841.187564
70.330332,179,871.896257
112.758132,196,873.22625
174.867762,251,875.026819
147.010366,192,876.439701
118.408604,246,878.204387
98.257487,241,879.898626
83.926072,80,880.523596
115.643498,247,882.26281
152.480659,215,883.802146
102.252876,231,885.525302
115.271182,199,915.938008
125.882308,208,917.419492
175.357023,186,918.784533
98.157276,89,919.409143
151.46702,217,921.050761
139.312605,193,922.472962
136.496571,195,923.849638
147.649871,231,925.501294
133.954362,176,926.74792
96.328734,103,927.501284
77.764811,122,928.347646
151.821284,211,958.733335
73.862411,53,959.093743
182.596099,192,960.389513
187.383544,188,961.745286
135.815029,207,963.248859
137.404136,207,964.715379
21.52109,251,966.552612
151.731463,181,967.857794
97.085022,197,969.325778
124.132618,219,970.916053
75.4298,105,971.67458
122.632514,187,973.037739
133.943361,153,1003.174251
192.358354,200,1004.584887
109.080021,52,1004.998834
105.65676,61,1005.426024
162.152589,163,1006.643832
93.144536,57,1007.030332
135.361963,183,1008.364492
26.795369,36,1008.617262
162.630089,206,1010.108112
109.998582,89,1010.809759
186.052616,198,1012.244399
133.074898,189,1013.646273
113.970761,166,1014.842652
156.360959,180,1016.142027
92.213927,88,1016.787302
147.372248,70,1045.927876
190.387744,179,1047.145903
152.963132,190,1048.493697
204.945715,174,1049.751889
138.219143,51,1050.158749
112.592877,58,1050.55682
185.933761,179,1051.86281
102.822591,80,1055.641463
98.509882,52,1056.09522
87.602399,61,1056.631934
199.083894,182,1058.013848
179.835484,161,1059.335378
157.767321,184,1060.736473
189.329483,188,1062.166488
173.13097,192,1063.789218
128.370507,64,1064.300865
120.559648,149,1094.3211
93.212026,96,1094.990425
107.488643,52,1095.912508
117.583814,67,1096.459173
194.840294,185,1097.867007
210.109278,182,1099.185348
72.312907,69,1099.717466
154.73858,124,1100.620647
114.03199,147,1101.643647
99.221533,51,1102.025382
167.604846,152,1103.131025
185.562498,170,1104.320026
153.474717,186,1105.761246
209.611711,194,1107.141584
72.612983,57,1107.560769
84.235582,51,1107.97166
174.493877,164,1109.151253
146.960588,166,1139.221204
102.188083,70,1139.76298
177.131503,159,1140.91228
120.233382,68,1141.447875
194.80701,143,1142.48549
126.747134,97,1143.162622
166.299165,168,1144.398539
170.984885,149,1145.470592
192.719249,153,1146.605239
83.154115,56,1147.037024
75.741487,45,1147.35794
133.438885,154,1148.47669
162.67758,141,1149.534927
185.297985,137,1150.576606
196.003646,155,1151.710256
133.97724,158,1152.873388
216.299234,192,1182.696011
109.201784,52,1183.098942
125.711267,53,1183.486443
75.817779,94,1184.140273
109.033325,47,1184.543897
150.755596,166,1185.771251
151.645581,144,1186.867145
152.410485,178,1188.199682
100.306383,83,1188.852367
203.387785,163,1190.043379
187.238312,179,1191.372543
165.400215,165,1192.556394
191.868647,153,1193.685589
170.655533,139,1194.742713
157.246517,149,1195.850481
101.685288,60,1196.237439
118.696706,108,1225.543404
189.757073,80,1226.019409
90.204362,66,1226.569095
198.283065,172,1227.778792
213.978212,157,1228.911257
142.420894,56,1229.299314
138.390667,154,1230.42954
214.061214,157,1231.572957
196.104527,150,1232.681219
192.706719,140,1233.726359
127.624222,55,1234.078007
208.331255,123,1235.015167
163.102787,144,1236.054832
106.080565,52,1236.416679
233.257924,157,1237.57056
171.384332,146,1238.641372
139.749343,114,1239.562498
216.999149,155,1269.721975
231.145113,158,1270.861097
144.929622,50,1271.209863
180.100376,164,1272.459592
181.14886,130,1273.422625
149.130858,93,1274.120684
149.026672,74,1274.668663
125.638961,48,1275.07391
178.806746,151,1276.15648
246.62276,168,1277.36712
133.389878,84,1277.932413
134.90173,63,1278.411065
229.543324,177,1279.692474
176.977146,154,1280.848797
178.165362,78,1281.416427
205.502544,132,1282.376402
143.583323,69,1282.890627
