#{"t_start": 1772488659.3031409, "env_id": "None"}
r,l,t
97.320222,251,10.361091
33.783126,43,10.680901
37.179248,251,12.314478
52.833883,251,14.125527
-0.474761,251,15.91547
31.971934,251,17.578967
19.813594,251,19.285319
-37.090989,251,21.154417
0.96738,52,21.519948
44.068029,251,52.28212
36.81247,251,53.914036
18.053334,251,55.545765
7.345065,251,57.221918
35.1341,251,58.860614
58.147879,251,60.545057
15.308046,251,62.165203
45.939497,251,64.072132
13.243211,251,95.266319
36.830809,251,97.018813
8.688515,57,97.38521
45.711912,251,99.098788
78.879485,251,100.812348
-11.639008,251,102.591713
-21.042355,98,103.350749
20.968502,251,105.208952
12.529096,251,106.991369
81.79465,251,108.78431
5.052767,56,109.224989
41.101967,251,140.811213
30.128003,106,141.540042
75.39561,251,143.231256
46.915071,251,145.985973
25.02013,251,147.788939
14.060964,48,148.107915
-28.10602,251,149.923148
58.007054,84,150.489188
19.28837,41,150.774526
42.073793,251,152.508259
23.922096,251,154.267736
-21.781926,251,185.882935
7.424299,251,187.939967
-12.494283,152,189.130057
11.891328,251,191.477301
0.833047,66,192.096349
39.015994,251,194.620308
60.898828,61,195.146993
6.744716,70,195.762287
9.342626,53,196.208274
8.269926,251,198.272824
12.338867,251,200.386188
-1.53876,251,233.12173
11.581795,177,234.303181
33.184259,59,234.710938
116.680997,218,236.202998
-8.5875,134,237.15421
47.03066,251,238.852382
-12.979597,140,239.804587
44.481208,50,240.143653
21.748862,251,241.943355
59.318844,67,242.418056
-38.432231,251,244.203609
37.067801,74,244.717615
40.154575,251,246.547573
48.119894,62,246.943067
50.55085,45,277.292047
54.342396,251,279.021974
25.529193,251,280.794621
26.102503,251,282.53043
51.560159,251,284.298978
21.437142,251,286.097443
12.918655,251,287.862468
26.536148,251,289.717766
103.963629,251,291.512985
65.222339,251,323.345392
15.481333,251,325.094594
12.321207,69,325.548172
43.969486,251,327.345922
17.116292,68,327.808402
15.241813,251,329.595843
36.921511,42,329.913516
27.149484,43,330.206181
13.901673,64,330.71487
20.709873,251,332.541495
55.898238,82,333.13728
53.971131,84,333.750351
