#{"t_start": 1772488659.3398914, "env_id": "None"}
r,l,t
23.519637,251,10.327365
0.617906,251,11.967692
80.198125,251,13.790603
6.696378,251,15.528776
101.617483,251,17.24463
24.853452,251,18.954352
-2.344298,251,20.818172
6.798086,251,22.575916
10.571014,47,51.970886
12.467656,251,53.521624
88.101829,251,55.206123
35.637078,251,56.812316
18.710676,251,58.516265
12.954644,36,58.749647
59.693412,251,60.415348
93.240066,251,62.05129
21.04711,251,63.937536
77.977977,251,95.156116
44.204702,100,95.791138
22.46252,88,96.446621
17.398804,38,96.714821
33.564443,251,98.434172
-2.821554,251,100.115463
32.523287,251,101.811207
29.807079,45,102.127951
24.935759,84,102.865494
17.06257,251,104.657194
13.935644,251,106.470651
12.497559,251,108.312876
-16.245688,251,139.935074
51.637392,251,141.693704
56.244447,251,143.379369
13.710774,95,143.99173
-15.986319,251,146.783719
18.143573,59,147.235774
15.507622,41,147.518062
27.372881,251,149.317517
53.541059,251,151.086335
22.700126,67,151.581456
-15.969925,251,153.245306
-31.412534,251,184.959441
42.203139,56,185.331189
23.42381,120,186.174533
55.30579,66,186.702735
19.27575,190,188.252569
33.989815,251,190.255738
-26.508719,251,192.855885
31.783767,56,193.484826
52.515214,87,194.261213
16.238291,251,196.471721
47.527506,251,198.507325
34.180576,44,198.898127
15.132742,53,199.370655
69.07156,251,201.431761
63.290877,251,233.998375
29.67402,62,234.39227
25.402821,251,236.117233
73.811428,70,236.583995
44.922967,68,237.08707
34.081037,51,237.455588
54.679995,251,239.130957
30.808919,251,240.864793
27.599948,57,241.280979
52.684816,251,243.076326
42.720271,48,243.410952
-33.535403,251,245.232155
31.721691,56,245.631434
47.843262,59,246.044716
17.600312,78,246.610167
-4.050903,251,278.395278
41.906193,251,280.06048
56.672046,80,280.66998
20.685426,62,281.070504
51.249935,251,282.846066
67.822154,69,283.306421
13.348454,76,283.851577
21.120608,67,284.341596
35.465038,46,284.697418
79.977727,251,286.515082
28.98836,251,288.28724
19.022295,251,290.051211
58.596263,251,322.014412
60.058065,251,323.733719
42.898993,251,325.423243
28.562449,251,327.224243
22.938702,51,327.550191
12.687019,251,329.37121
48.635232,80,329.948388
47.156921,251,331.777233
52.547187,93,332.444718
19.522885,251,334.297032
36.307363,47,334.616796
45.625844,87,335.257983
56.107846,80,335.853233
50.54937,251,366.904451
37.502116,251,368.821689
25.207957,251,370.542381
22.137244,66,371.023262
43.546677,251,372.696322
38.935136,251,374.536962
32.881543,251,376.391196
57.08365,89,377.077494
83.554788,251,378.838028
46.854608,57,379.279637
55.538345,251,410.723928
116.375356,211,412.091383
71.922684,251,413.792372
22.720091,251,415.900959
53.456926,119,416.736026
15.500519,251,418.517738
56.532634,105,419.235574
48.875948,92,419.927145
42.233114,55,420.307045
37.828015,251,422.091165
55.414037,251,423.842877
42.890317,251,454.486019
69.921518,136,455.413676
18.288187,251,457.10303
36.467297,54,457.503992
60.903926,251,459.217119
72.419303,251,460.913171
63.257881,251,462.664553
46.729199,77,463.21543
48.036705,132,464.201222
64.259801,91,464.835083
85.049394,251,466.649081
110.104946,164,497.582079
44.169989,68,498.012209
88.461164,170,499.360322
24.504349,112,500.171987
17.663911,105,500.930996
-21.22233,251,502.707907
40.832341,98,503.383097
24.34197,43,503.683926
52.27752,251,505.500408
104.262196,133,506.473783
41.079025,61,506.955503
68.170642,251,508.830739
59.742734,131,509.795403
66.19463,251,511.601665
38.764245,125,536.996278
64.689045,85,537.574797
75.455612,251,539.258865
39.456146,56,539.662242
70.85504,251,541.382947
79.697085,251,543.138695
58.194951,251,544.841582
22.483586,43,545.173007
91.582412,215,546.672435
38.898263,251,548.451746
68.843066,134,549.424161
95.06142,251,551.298915
55.765862,149,577.980683
93.039546,251,579.77675
-24.603164,251,581.600105
102.738557,251,583.49212
30.520051,58,583.890784
60.331793,137,584.909899
68.081288,251,586.816758
106.395081,251,588.667277
43.096312,50,589.079296
47.067521,251,590.956234
64.996229,251,618.966653
79.2591,251,620.73997
139.027203,251,622.528639
54.947746,150,623.701731
51.733698,251,625.516348
67.75592,251,627.364812
31.64487,251,629.143174
90.858926,107,630.014242
75.403762,251,631.837883
92.734577,251,659.397646
39.068257,110,660.214584
17.40262,137,661.257395
