#{"t_start": 1768594087.4721305, "env_id": "None"}
r,l,t
6.882698,251,4.526932
24.06035,251,6.328815
38.097899,251,8.294617
19.904395,251,10.294169
6.693506,251,12.033595
11.851533,251,14.137226
-18.41707,251,16.01264
-27.51976,251,18.001084
15.309559,251,49.352159
15.47042,251,51.09035
24.566438,251,52.859212
-15.456999,251,54.564891
33.854573,251,56.356894
39.262945,251,58.139592
20.852175,251,59.967007
26.030704,251,61.817975
6.475192,251,91.79143
13.129558,41,92.07392
41.484704,161,93.317564
17.931724,251,95.088789
-7.289357,251,96.888174
-21.396603,251,98.66508
14.781981,56,99.127342
-6.20326,251,100.900616
39.390234,251,102.696956
31.503357,47,103.005912
15.587925,251,104.851354
10.147208,251,134.717381
37.097749,47,135.083352
32.699394,71,135.636571
19.052381,251,137.350476
8.955124,153,138.385663
45.714886,63,138.803664
-52.3983,251,140.647262
20.144098,40,140.913829
38.670424,251,142.691087
0.052743,251,144.481816
28.174564,251,146.240612
-3.745101,44,146.570489
60.212667,104,147.257649
-6.03473,119,176.517237
-26.747889,251,178.319979
26.674583,69,178.786068
-30.164572,251,180.581102
50.63211,251,182.438744
89.284031,88,183.052167
26.251028,58,183.471592
31.248851,251,185.281032
67.060953,123,186.212616
35.516892,49,186.576689
43.794534,251,188.292899
62.189065,67,188.824203
40.211185,41,189.119986
27.164116,57,189.537386
82.852057,251,219.766643
6.155558,251,221.384105
1.032839,251,223.21245
31.995578,58,223.615449
31.582573,251,225.452633
102.175195,163,226.768197
27.214639,107,227.714013
27.652256,59,228.254747
31.21127,80,228.952074
18.967349,41,229.22019
13.729628,46,229.535055
33.061446,50,229.929962
49.37039,251,231.736123
15.777923,251,233.610999
34.630862,251,263.85816
33.656931,61,264.350646
57.057688,251,266.047227
9.803346,251,267.887625
81.913604,251,269.708443
6.390313,72,270.222056
20.472452,40,270.491763
117.995009,161,271.614964
42.929705,251,273.527436
52.297559,251,275.317667
22.770103,251,277.205332
63.145083,251,307.496287
69.385209,251,309.29001
43.523954,44,309.591548
20.695503,52,309.965912
29.506339,251,311.775068
33.380547,64,312.240614
36.768925,100,312.936517
47.800425,70,313.474158
75.710402,251,315.278403
16.33525,49,315.650689
24.713114,47,315.987419
41.430708,46,316.278211
23.457032,59,316.730378
36.645376,251,318.592598
-14.10679,251,320.476401
50.50685,76,321.016888
58.217761,251,351.703318
48.294286,60,352.145075
9.026487,251,354.015709
41.455267,71,354.535357
8.689754,83,355.10763
33.569933,70,355.67512
44.993677,251,357.342098
58.813752,82,357.997003
27.986991,53,358.356932
19.799255,54,358.772226
19.728082,110,359.536823
47.332676,55,360.016015
61.968452,99,360.664213
55.873506,50,361.05959
44.904017,51,361.415814
14.995363,251,363.230209
77.65971,251,393.495278
69.221737,89,394.132303
59.949038,251,395.951525
28.814377,54,396.345855
17.484875,114,397.153465
34.604818,71,397.648804
80.837931,88,398.304985
29.774537,251,400.086936
44.374383,251,401.841802
1.084185,251,403.663471
52.034568,251,405.460284
63.797628,251,407.21832
7.526858,130,436.823008
46.273386,251,438.49798
65.88125,97,439.179713
43.858188,251,441.004822
101.415976,251,442.841758
75.638016,99,443.505626
-14.758905,251,445.287702
1.654806,251,447.049953
106.415885,169,448.197148
21.980885,48,448.543365
93.213334,251,450.39607
38.887169,63,450.826106
63.158789,251,480.982567
55.928205,251,482.772058
59.294312,77,483.300381
131.689018,251,485.151208
40.189309,251,486.911498
33.163233,52,487.329854
67.440552,251,489.092748
41.938746,251,490.81656
45.279761,78,491.41801
9.399796,70,491.908026
48.036701,68,492.406962
54.322032,251,494.193474
50.445175,88,523.294279
111.884406,251,525.059485
95.24475,251,526.780221
29.346532,251,528.647048
87.209307,251,530.478862
138.128609,251,532.278447
72.019827,251,534.097242
139.311412,251,535.886556
11.438115,251,566.23931
47.23394,130,567.125286
76.037871,123,568.01842
99.807778,251,569.797734
87.508161,134,570.740082
68.168966,97,571.419461
98.898265,251,573.17025
62.588192,251,575.086584
40.528966,69,575.605299
83.831711,198,577.136318
73.559323,108,577.848194
78.117263,94,578.617115
80.894791,251,580.320853
90.374476,251,610.793709
74.251385,251,612.649121
84.992419,251,614.450985
37.902385,251,616.200267
71.886893,90,616.897807
45.232433,251,618.620271
49.810978,251,620.423669
76.420003,251,622.21874
57.243496,251,653.717889
45.154847,121,654.659
76.34637,251,656.409242
88.408965,140,657.431497
86.34998,251,659.299395
83.920697,251,661.036182
101.113755,232,662.7014
79.274757,251,664.552669
44.130503,127,665.471666
95.578234,251,667.39698
71.603595,251,697.755226
85.850765,251,699.504502
51.331014,100,700.257894
68.065744,51,700.5889
74.376423,93,701.233482
36.197208,133,702.214334
55.500309,251,703.971348
52.53562,251,705.820308
48.577138,251,707.55832
109.56474,251,709.46229
16.87655,48,709.815416
74.879707,103,710.634326
86.996611,251,740.881747
66.27997,251,742.659544
57.109556,86,743.285457
81.01087,251,745.147636
59.497042,224,746.793311
51.933418,251,748.609961
50.253932,251,750.382021
108.67035,84,751.021662
83.319005,125,751.903309
54.666649,87,752.521843
49.281574,251,754.284017
137.771743,251,784.388308
121.712786,224,785.918407
145.882094,247,787.807974
127.152846,251,789.675104
109.495885,224,791.448857
98.671275,71,791.91786
73.995244,145,792.974299
105.204365,251,794.789882
132.665455,248,796.586776
69.623487,194,798.04543
71.25216,92,826.930401
142.400421,251,828.732833
110.886785,247,830.516511
79.962895,131,831.541
110.775776,241,833.283268
89.749988,251,835.073069
53.46844,78,835.682067
67.921137,78,836.21553
110.687591,251,838.064813
106.871185,202,839.467509
116.907909,251,841.326963
127.702404,197,872.087698
58.720853,106,872.765572
118.712916,200,874.234478
88.789125,71,874.758094
104.751056,234,876.459598
145.672894,214,878.033599
111.801898,248,879.748537
74.309865,98,880.4925
115.060748,179,881.703538
107.559818,197,883.148999
140.976888,198,884.623604
130.463,224,915.258074
63.86962,59,915.670191
134.155824,251,917.445502
91.489454,59,917.90826
140.286235,208,919.36395
132.125673,251,921.271812
111.888636,120,922.148331
154.800579,202,923.601435
46.304351,110,924.375024
69.844099,214,925.894701
124.069014,110,926.674565
147.984577,187,927.996202
146.660024,247,958.656096
59.304199,107,959.355103
128.202804,182,960.646764
164.494635,173,961.865907
207.297428,227,963.490501
38.557275,82,964.102966
137.158759,198,965.52677
166.043577,204,967.022572
108.37528,102,967.73232
134.361941,189,969.18495
105.317042,155,970.294147
169.805153,214,971.831092
92.391058,204,1002.374499
132.109975,191,1003.723607
161.380355,196,1005.158608
137.688166,210,1006.655346
101.41841,54,1007.06867
110.462453,183,1008.398868
151.094143,217,1009.981807
154.712416,174,1011.283852
193.107667,190,1012.670555
100.567666,58,1013.095934
149.527491,177,1014.394724
119.578878,55,1014.792841
123.603825,212,1016.323617
147.04642,179,1046.168905
70.039245,64,1046.647547
166.658171,177,1047.91665
137.529501,162,1049.038526
183.48743,182,1050.390218
160.986665,188,1054.993168
201.172428,187,1056.516373
86.252612,94,1057.229845
166.10636,190,1058.743785
72.606218,100,1059.503537
102.239713,90,1060.198518
94.588262,66,1060.665565
121.05733,209,1062.281007
163.925826,192,1063.918415
159.237995,179,1094.189396
133.819425,156,1095.884301
161.669322,181,1097.27282
167.42316,180,1098.610621
194.009637,177,1099.886698
224.256592,177,1101.140331
228.032833,154,1102.247634
84.969418,108,1103.074398
197.613927,181,1104.348094
154.547208,80,1104.929112
177.924576,172,1106.222117
153.948594,184,1107.591811
121.121075,99,1108.266209
195.548363,157,1138.29379
93.980915,96,1139.001041
153.927824,164,1140.229239
187.463375,164,1141.448407
153.260898,155,1142.568852
188.773594,174,1143.836324
185.989202,193,1145.25314
193.649529,179,1146.53864
168.382902,189,1147.936226
89.7508,137,1148.958475
206.967407,162,1150.155447
119.510167,59,1150.623713
167.654097,159,1151.761148
151.410422,175,1181.523538
144.432743,57,1181.912519
182.323427,173,1183.201066
131.168446,92,1183.819273
175.143316,149,1184.966875
157.114547,142,1186.014531
117.066877,55,1186.466242
207.927126,171,1187.75571
237.674885,171,1189.037967
156.250463,144,1190.120671
92.842998,64,1190.525997
205.010057,171,1191.788007
128.965376,113,1192.620396
173.007847,166,1193.832494
122.809843,65,1194.385581
204.520002,154,1195.522794
158.635846,153,1225.103452
186.449417,157,1226.201682
199.18274,154,1227.272757
172.20214,197,1228.727059
206.822877,170,1229.943602
166.596719,164,1231.160154
226.174629,173,1232.431467
149.023179,89,1233.133808
174.941838,145,1234.185922
129.654306,147,1235.264214
152.306965,159,1236.416446
181.731313,152,1237.535239
102.411851,56,1237.914958
154.496758,145,1239.023192
134.51048,51,1239.37792
147.443129,156,1269.54019
135.892882,116,1270.397824
204.445157,157,1271.568846
220.140635,151,1272.719115
155.782934,61,1273.154449
235.812209,160,1274.320777
161.6353,71,1274.906898
256.898213,184,1276.198553
136.197908,127,1277.140187
-13.855656,44,1277.453187
212.066437,152,1278.5071
179.158981,142,1279.574855
223.506341,171,1280.83141
205.460759,158,1282.002808
131.97156,49,1282.352269
214.373773,156,1283.478501
168.344968,167,1313.568644
230.388439,143,1314.566942
239.590708,158,1315.697203
270.371385,169,1317.614034
155.887512,64,1318.106204
215.196924,172,1319.457486
131.373987,66,1319.899548
130.986671,59,1320.33973
228.663857,150,1321.447529
120.927581,96,1322.154634
236.601528,136,1323.144451
222.150059,142,1324.163324
137.394797,61,1324.57834
165.217308,60,1325.052409
224.943453,146,1326.131119
242.733583,162,1327.277153
169.762881,63,1327.781868
180.210591,145,1357.430231
187.967756,156,1358.562649
158.915207,53,1358.936028
255.255863,157,1360.09108
233.95776,141,1361.458279
165.882394,79,1362.101482
261.864328,148,1363.221631
174.126215,143,1364.295506
209.078205,121,1365.175908
235.843531,128,1366.137404
142.539638,59,1366.60165
168.630247,63,1367.01362
202.066811,144,1368.13021
119.829739,82,1368.744757
238.547789,161,1369.962687
207.399845,147,1371.07601
205.358751,146,1372.168993
88.931407,70,1401.76855
254.79629,134,1402.594069
175.068696,114,1403.472383
212.793434,66,1403.980725
160.695816,56,1404.373528
284.051224,148,1405.500886
207.74341,125,1406.406099
217.739562,151,1407.519928
156.815505,63,1407.962319
162.728833,79,1408.571127
167.02376,59,1408.974308
264.445529,146,1410.065945
156.234159,59,1410.494073
224.608183,134,1411.45505
132.272949,55,1411.921879
169.480331,61,1412.390555
140.806435,79,1412.960636
254.461084,149,1414.04518
250.350294,142,1415.107949
173.669091,109,1415.909626
196.030363,153,1446.167353
231.128047,138,1447.063122
283.626374,159,1448.258081
246.870994,138,1449.257846
206.202005,138,1450.309586
242.348716,134,1451.282004
220.8609,128,1452.253314
219.22397,133,1453.233711
244.995133,154,1454.422065
258.751583,160,1455.576412
230.910581,149,1456.677249
236.259401,160,1457.814847
220.789335,130,1458.833238
244.808378,133,1459.758511
178.340939,68,1460.263152
239.243494,126,1490.15686
190.367717,137,1491.069694
201.671367,146,1492.166345
225.764742,129,1493.115809
142.970715,64,1493.519216
233.385831,141,1494.597244
185.084261,130,1495.517995
203.607953,143,1496.637182
250.219917,130,1497.581067
142.35074,59,1497.986654
209.854459,139,1499.060273
235.210972,156,1500.16009
134.782957,56,1500.572254
241.520256,136,1501.586594
239.934007,137,1502.581135
206.369487,75,1503.206676
272.905194,143,1504.334659
199.882843,94,1537.21466
165.084095,78,1537.692738
251.030571,139,1538.790219
226.484516,127,1539.917659
279.758644,132,1540.976769
223.116779,138,1542.338892
274.195128,150,1543.459612
259.891549,151,1544.945716
224.315071,116,1546.181859
266.196642,121,1547.330079
243.322067,126,1548.693446
182.684077,126,1550.078153
165.277678,65,1550.739228
187.216338,60,1551.243431
277.507737,147,1552.552156
213.49671,136,1553.745267
256.849802,141,1554.999361
203.751797,64,1555.563075
244.220289,129,1587.715868
275.044805,145,1589.051347
255.653968,133,1590.224523
243.033699,138,1591.437499
245.66824,135,1592.545354
244.312219,138,1593.809831
254.902735,138,1594.961824
173.838103,63,1595.526017
232.553389,122,1596.526181
238.454494,134,1597.617526
249.168901,147,1598.864692
271.833516,136,1600.089931
191.121974,137,1601.252996
273.548103,156,1602.642593
271.637983,140,1603.817467
212.124973,147,1636.302431
279.450506,136,1637.377803
291.810046,155,1638.651553
279.313588,147,1639.846193
291.380999,150,1641.131843
228.961733,119,1642.107028
254.712616,145,1643.43357
274.992379,158,1644.695355
279.840115,144,1645.949543
220.850119,129,1646.970607
263.380859,152,1648.494134
286.481308,129,1649.608755
272.959504,141,1650.806675
222.158233,136,1651.971259
315.44991,141,1683.714917
232.228441,142,1684.821866
141.797237,122,1685.889166
237.551279,134,1686.963927
244.607442,136,1688.164894
250.620512,126,1689.183704
262.239338,119,1690.246855
292.660759,128,1691.28639
157.986779,105,1692.121044
243.938152,126,1693.243968
143.878295,57,1693.704586
287.323416,129,1694.843794
157.758539,81,1695.516161
267.448949,148,1696.741099
302.523371,139,1697.95388
237.530645,133,1699.162758
275.670424,143,1700.406919
252.570672,136,1736.5792
240.283588,142,1737.817429
245.290536,125,1738.828891
251.392933,133,1739.959612
195.318505,63,1740.606948
253.905561,125,1741.754593
276.27701,151,1743.155871
190.240366,65,1743.658947
286.072367,135,1744.946077
256.341805,140,1746.07212
229.006093,123,1747.180805
311.437711,135,1748.336735
283.073885,117,1749.417519
293.358849,122,1750.36421
296.388732,140,1751.671597
254.420772,135,1752.773042
249.985952,159,1784.597661
219.889967,131,1785.639964
325.26031,134,1786.75354
279.335807,133,1788.016836
189.563955,58,1788.484949
307.522016,134,1789.620872
302.532671,127,1790.629188
298.993788,128,1791.818941
213.269752,57,1792.319698
273.036992,137,1793.428402
279.276832,129,1794.508288
230.628199,133,1795.6015
275.027067,130,1796.766077
301.997286,148,1797.955998
214.424515,136,1799.094993
194.696905,65,1799.646621
163.737609,61,1800.138482
305.169717,144,1801.465728
304.166641,130,1831.146495
305.665306,129,1832.291238
116.011809,74,1832.934907
291.053438,127,1833.973341
284.205732,118,1835.135099
186.162388,69,1835.664955
298.401098,136,1836.994293
288.004992,133,1838.375754
298.159639,138,1839.908754
318.915544,132,1841.25548
203.951157,67,1841.805259
266.018579,118,1843.075751
270.376694,127,1844.224926
184.847167,251,1846.414553
305.824089,119,1847.444869
292.86304,130,1848.816114
308.167423,140,1880.255928
314.927394,127,1881.207138
220.59739,96,1882.0112
143.516812,147,1883.226573
292.509537,141,1884.46877
288.38291,118,1885.418078
263.838854,119,1886.438887
271.061522,127,1887.480913
310.814336,137,1888.620646
267.926926,124,1889.641236
289.745487,125,1890.736708
200.577046,57,1891.1805
207.363451,127,1892.658443
285.213981,118,1893.799133
326.78761,136,1894.884374
272.175138,111,1895.862325
131.974042,86,1896.635756
305.513408,137,1925.973428
288.749639,138,1927.052245
295.941826,123,1928.148229
273.104709,138,1929.27696
245.649416,117,1930.115594
336.507057,144,1931.258485
273.995751,120,1932.179318
246.282002,109,1932.982271
295.834072,114,1933.907423
318.491876,138,1934.927388
200.000358,59,1935.386251
253.294716,129,1936.448947
211.578992,61,1936.920446
332.909286,129,1937.966058
346.770479,138,1938.962537
300.562244,125,1939.865904
274.267031,120,1940.835433
281.575325,118,1968.412924
340.126833,136,1969.425084
267.071127,130,1970.394842
299.043981,135,1971.537813
303.296091,135,1972.809079
308.859241,137,1973.91466
313.681839,113,1974.765024
287.419286,120,1975.598097
335.010781,128,1976.662614
313.984299,134,1977.728633
293.782834,116,1978.725064
282.203642,121,1979.658159
299.417243,128,1980.709293
