#{"t_start": 1768594087.2993007, "env_id": "None"}
r,l,t
69.656834,251,4.695687
-5.239786,251,6.501644
34.405116,251,8.467447
24.363497,251,10.464983
2.875971,78,10.978544
-27.672297,251,13.043087
24.782016,251,14.946046
-6.718206,251,16.75132
-2.471086,251,48.393888
55.29504,251,50.035893
19.072418,251,51.817297
-26.11284,251,53.589604
32.514287,251,55.317225
71.95796,251,57.101916
33.066502,251,58.879074
38.264906,251,60.691046
3.868485,251,62.518862
38.286788,251,92.574104
44.092193,96,93.262441
28.306972,251,95.02212
23.535075,62,95.49802
15.746374,61,95.9601
42.609275,63,96.398416
60.411383,251,98.216545
13.827708,251,100.037776
33.165057,251,101.826388
57.094882,251,103.544101
11.978728,70,104.10183
1.985889,251,134.036805
0.807109,76,134.509714
-14.831333,251,136.344
37.18773,57,136.705913
37.472062,251,138.474387
23.466364,73,138.946364
-9.538463,251,140.795167
37.519863,251,142.584365
53.306375,130,143.428706
39.568847,251,145.234619
6.720717,49,145.530026
67.814464,251,147.355626
27.771377,251,177.574869
25.358607,251,179.313448
11.466096,251,181.116335
36.485738,43,181.407435
26.231688,251,183.287964
14.708135,47,183.61138
46.127603,111,184.449237
45.153388,71,184.965567
-53.955132,251,186.793896
13.199773,251,188.513439
13.109817,251,190.316848
21.976642,57,190.780042
21.146536,47,191.095773
40.070462,55,219.923535
20.002641,68,220.318572
83.661264,251,222.118782
69.503756,251,223.855477
81.03184,251,225.692664
16.872646,123,226.718302
22.15122,49,227.066466
36.83125,62,227.627778
48.443357,251,229.690089
39.34075,45,230.047765
22.235766,251,231.84722
-0.084689,251,233.735235
16.405747,50,234.063449
98.934902,251,264.377247
63.240869,103,265.06232
43.939803,251,266.883956
-7.059728,251,268.677599
23.405456,42,269.037483
53.190429,251,270.788951
27.171676,251,272.568571
1.486111,251,274.419138
35.567669,251,276.218924
18.738121,251,306.784681
47.206472,98,307.383577
41.417434,61,307.766473
26.047978,43,308.063108
78.042256,251,309.848011
36.937121,42,310.164003
57.448332,251,311.98026
23.991419,37,312.205267
19.12237,251,314.04876
42.580871,87,314.643978
51.162697,251,316.473207
20.510073,57,316.884138
26.872315,64,317.366588
24.378982,251,319.261691
59.108578,73,319.830164
11.376153,251,350.574353
51.253923,82,351.17999
40.46699,251,352.901857
4.648436,251,354.807349
67.97426,75,355.310821
43.245374,50,355.739642
-7.566391,251,357.399402
37.809294,60,357.917295
32.278948,251,359.662538
48.512786,112,360.553008
51.487202,251,362.395402
99.58984,251,364.19464
53.606155,251,394.423158
22.408709,251,396.227778
52.94423,113,397.059971
38.022956,251,398.848081
40.95039,92,399.491963
65.018742,93,400.119086
11.686963,251,401.904318
6.782455,251,403.720605
67.232767,69,404.203417
70.015446,76,404.786894
46.804122,65,405.227446
60.85783,251,406.997813
108.640125,251,437.388979
30.021759,251,439.115733
37.98234,251,440.95417
76.516742,251,442.732481
31.200623,112,443.537358
85.079766,102,444.209962
102.307506,113,445.057487
76.217754,251,446.7745
25.045352,38,447.112989
36.577312,99,447.776556
52.069224,83,448.335971
97.771206,251,450.16149
54.332025,136,451.1345
108.631819,251,481.28524
29.571836,251,483.106244
19.60589,103,483.791562
134.447123,251,485.670528
49.775514,251,487.464172
104.6378,251,489.213479
48.454508,47,489.566306
62.969095,93,490.220621
64.634354,141,491.173078
70.458102,251,492.994574
43.210419,251,523.303527
62.51114,67,523.722133
45.227853,251,525.525186
54.899711,135,526.430195
98.802543,251,528.284908
40.340101,70,528.75589
43.407099,55,529.129507
61.380842,251,530.971811
63.213954,251,532.817364
69.689116,251,534.612067
41.376562,69,535.117374
77.504559,251,536.947571
68.048762,181,566.687598
72.76604,81,567.2766
35.032979,124,568.175493
119.709212,162,569.307122
49.310617,251,571.098634
63.874696,251,572.894873
49.437103,251,574.703374
82.323378,54,575.134897
77.475348,251,577.025071
82.542957,251,578.903304
30.24486,125,579.765898
97.805872,158,609.622421
54.504021,251,611.305681
73.329844,251,613.164351
61.367127,78,613.681936
36.573589,42,614.007882
57.508831,251,615.803677
90.219971,251,617.613607
70.890051,90,618.210467
100.524046,110,619.039433
68.072848,167,620.165056
77.224001,251,622.031694
68.202486,129,622.953718
63.785037,251,654.372213
47.894254,54,654.881902
49.650565,251,656.654977
56.553567,251,658.466077
60.230703,72,658.991555
97.87143,157,660.112373
79.864929,251,661.917058
104.887147,251,663.797495
66.144162,251,665.557142
77.104953,251,667.474485
59.018781,76,668.009054
43.459963,251,698.344512
66.393482,251,700.177786
45.660178,251,701.910578
80.839251,251,703.685265
46.137425,117,704.516106
74.393088,242,706.329833
50.510095,44,706.626037
39.586797,113,707.425216
61.384716,251,709.294787
7.794328,251,711.146574
58.045724,234,741.297681
79.794858,251,743.083278
58.814177,251,744.941414
100.053089,251,746.757061
50.116735,251,748.569505
42.130822,114,749.423302
63.704139,58,749.839087
61.293879,122,750.68899
110.002668,237,752.372627
97.034354,66,752.8657
68.395167,87,753.497193
56.842247,251,755.298989
81.249817,244,785.299089
62.523249,251,787.15536
124.943766,236,788.922719
86.890763,251,790.763726
109.659706,238,792.553626
87.337835,251,794.343091
118.834828,207,795.923873
93.385335,96,796.574267
64.650431,166,797.742331
56.852976,45,798.149375
67.394753,118,827.208265
122.404268,204,828.649516
141.770525,251,830.484435
146.964514,221,832.174148
74.980715,56,832.571378
138.180331,244,834.340148
139.293546,225,836.006107
