#{"t_start": 1772488659.1252453, "env_id": "None"}
r,l,t
0.644258,251,10.538987
40.362614,96,11.161409
6.918916,251,12.852021
33.694699,251,14.636895
-16.133759,251,16.448875
28.898756,251,18.12393
9.936529,251,19.852993
31.1349,251,21.712841
18.554849,251,52.475542
46.87962,251,54.109111
63.388045,251,55.738149
0.152111,251,57.417847
90.34849,251,59.045591
3.024276,251,60.743242
19.753584,251,62.358097
69.994276,251,64.268409
-25.379034,251,95.46119
24.559436,37,95.665467
32.545388,251,97.436065
24.11359,63,97.846726
-35.646043,251,99.590353
23.337233,251,101.272623
42.452634,251,103.146886
17.941329,251,104.956021
33.403873,48,105.338846
-2.448157,251,107.119733
39.46268,83,107.706126
11.243988,81,108.29577
34.3246,251,139.950995
-50.251434,251,141.676674
-29.412226,251,143.367624
35.508553,251,146.127044
13.346333,52,146.521922
36.095248,57,146.897447
-19.73632,251,148.67666
39.176146,72,149.190379
-13.835398,251,150.98701
51.022396,61,151.427434
43.335501,251,153.119018
26.591832,55,153.506947
68.023804,251,185.210873
47.665443,251,187.082076
125.273374,251,189.062689
-50.576655,251,191.312556
32.898818,251,193.907111
-24.42029,251,196.149118
36.374792,52,196.557715
1.410341,65,197.105205
18.826314,46,197.487452
-63.650919,251,199.557505
27.441977,61,200.0185
28.553456,53,200.495418
10.311517,251,233.263037
-0.078896,65,233.671219
54.186916,85,234.286709
48.529463,251,235.960737
50.860009,124,236.821096
-23.114241,251,238.556874
1.370581,251,240.266579
35.3348,251,242.072746
-7.726914,251,243.821369
33.31252,251,245.667553
21.051215,251,277.43378
15.814828,47,277.783445
73.560283,116,278.609924
27.21812,251,280.273136
-19.093949,165,281.425038
19.717771,75,281.950461
32.917943,55,282.328297
51.963988,251,284.134397
28.139464,251,285.894892
55.451201,57,286.349044
21.130749,45,286.685999
37.006579,54,287.072741
-22.939403,251,288.871831
49.700048,251,290.669062
31.885838,42,290.975497
19.462391,251,322.847953
10.389163,251,324.575977
37.503648,251,326.326325
56.713379,46,326.617576
37.529396,43,326.955402
20.297445,251,328.721412
-35.239692,251,330.539548
47.874104,251,332.372045
44.705627,52,332.771241
23.352475,40,333.059509
34.456343,251,334.862445
50.384493,65,335.335737
66.381064,251,366.448655
53.350969,251,368.24068
56.252535,251,370.025146
36.033924,251,371.787938
63.760576,251,373.609129
17.208435,78,374.138996
53.269518,96,374.835094
18.908987,62,375.315787
37.366772,51,375.722303
86.061461,152,376.782965
52.576378,45,377.095585
28.317996,251,378.910339
22.707767,251,410.409254
84.297885,78,410.935626
36.569471,63,411.358407
35.952633,53,411.674903
64.139336,251,413.380565
64.63471,251,415.044051
67.818946,251,417.219541
46.179975,78,417.785154
31.342011,58,418.17023
44.016133,251,419.969814
117.048649,251,421.707482
43.517865,251,423.426491
52.799337,62,423.902856
47.239718,54,424.327532
32.698059,54,424.69178
10.103895,74,454.143645
106.037761,251,455.827461
40.945353,104,456.539345
59.331702,120,457.346474
34.113774,60,457.783287
46.67157,251,459.497164
15.611057,251,461.173056
-2.685184,251,462.944623
30.629321,251,464.750062
75.454077,89,465.402729
57.136957,103,466.133401
44.099311,116,466.960727
72.406773,89,467.595196
3.240325,102,498.057953
110.145282,251,499.965526
95.87099,251,501.837758
82.577441,251,503.539639
56.635811,107,504.267234
101.208537,164,505.45502
66.944632,179,506.83415
106.398021,251,508.741759
23.807483,88,509.339424
67.45734,251,511.193816
30.898708,53,511.560298
99.448795,171,537.277362
38.872474,138,538.162546
37.081032,251,539.929103
62.374028,98,540.560317
52.121706,251,542.295683
74.378199,251,544.055923
41.311633,56,544.441934
63.23273,251,546.161071
31.946424,63,546.623327
39.522712,62,547.070915
63.440477,251,548.884673
34.131137,68,549.337952
55.755682,58,549.833509
38.948459,120,550.718536
18.366281,251,578.111494
84.549577,149,579.205846
56.735222,251,581.024904
38.610155,56,581.474193
47.76072,251,583.258124
67.526811,251,585.146423
96.819341,251,587.053226
84.430159,160,588.2331
116.96786,128,589.180299
52.842649,112,590.094076
93.403805,251,592.017713
78.653078,123,618.975757
61.613112,251,620.747873
37.577641,55,621.13191
104.905311,94,621.834353
30.562607,55,622.196884
94.118555,251,624.101322
53.64649,106,624.848027
101.654313,251,626.698941
62.270651,251,628.56867
45.183492,251,630.405882
55.909387,58,630.853214
52.089295,89,631.432324
62.079086,67,631.947182
73.171182,251,659.527223
53.952146,69,660.014159
44.497694,56,660.475957
99.088037,251,662.33606
58.512383,140,663.392766
78.857503,121,664.367589
48.589462,251,666.278019
85.873917,135,667.348134
95.552244,251,669.222599
57.444549,251,671.129876
91.644611,72,671.640674
60.351922,251,673.580171
69.154433,251,700.48296
28.964968,251,702.286972
49.774767,251,704.440813
51.698438,251,706.312773
64.66093,251,708.128934
78.53201,251,710.070836
62.73609,114,710.863413
61.677163,251,712.658086
40.182321,61,713.108135
73.59922,109,713.883615
72.205186,251,744.726209
65.199244,251,746.529309
76.439707,251,748.355451
84.783765,251,750.169369
119.248157,251,751.987814
79.564537,113,752.838618
59.249264,251,754.712382
73.472891,251,756.607329
87.30814,251,758.44062
98.478349,251,785.123489
98.960446,181,786.361411
56.083936,51,786.733369
92.059312,245,788.466714
69.375249,136,789.460931
82.447833,251,791.30279
104.352495,242,793.093103
48.57525,251,794.960494
104.908778,213,796.56031
114.543955,219,798.144464
120.372645,248,825.430116
130.222128,251,827.271389
46.562292,102,828.001093
108.896484,109,828.795681
81.133196,204,830.27092
66.856059,98,831.016454
84.305727,91,831.645638
109.560299,232,833.386427
108.889161,227,835.070062
106.955928,251,836.973154
100.19239,192,838.357655
50.389484,73,838.962233
63.405819,106,864.32308
122.177478,228,865.935018
62.072798,57,866.295836
136.438361,250,868.127717
73.117388,95,868.744177
147.529857,201,870.182097
94.581208,168,871.355975
148.132482,251,873.088916
117.6632,236,874.884784
115.712362,217,876.466432
25.526975,110,877.241261
151.678416,239,905.63306
144.081008,206,907.174841
74.958126,78,907.723154
119.87238,186,909.110733
118.277668,212,910.698624
130.635227,201,912.224008
142.272413,244,914.070027
153.503409,201,915.559795
95.745956,84,916.212984
164.313284,235,918.494864
129.713188,251,920.552099
118.863023,174,948.659936
66.487656,66,949.147238
149.567266,225,950.989432
128.027198,193,952.767661
37.189127,89,953.51508
122.820208,172,954.824468
192.064445,219,956.513574
147.260352,169,957.73771
125.407519,224,959.365017
142.509497,199,960.855609
175.531241,233,962.655338
57.083751,83,963.26523
69.69914,49,963.613892
126.266564,181,990.733343
97.421476,53,991.074242
93.144351,113,991.929247
152.469261,219,993.51159
105.891961,46,993.880869
168.069388,172,995.087457
109.087994,90,995.713914
168.293131,217,997.353838
96.917971,102,998.131286
89.494759,69,998.645774
158.733392,171,999.869666
