#{"t_start": 1772488659.2345192, "env_id": "None"}
r,l,t
-2.09613,251,10.429713
13.281893,251,12.073064
48.347597,251,13.895975
16.157768,251,15.634148
5.306638,251,17.350003
20.572943,251,19.059724
12.999308,251,20.923544
37.311937,251,22.675761
43.401966,251,53.319896
-27.149814,251,54.967407
-12.473531,251,56.636689
32.799303,251,58.296853
55.425246,251,59.970764
18.544476,59,60.353627
23.522476,251,61.99765
23.207989,251,63.832158
32.089719,251,65.670579
52.325186,251,96.831376
-2.76315,251,98.552628
43.063448,251,100.246158
27.477694,251,101.933899
21.91187,116,102.872393
39.506587,63,103.337749
18.176851,251,105.175312
27.431503,51,105.557051
21.067091,251,107.340194
0.073165,251,109.144014
25.99707,251,140.739367
22.899455,61,141.155939
39.145939,47,141.491202
20.591613,168,142.65875
40.698717,251,145.351385
38.360492,251,147.14672
37.966643,63,147.578579
37.982499,251,149.383645
46.479658,251,151.1436
31.317881,42,151.476802
-22.147155,251,153.148033
19.206963,49,153.498146
31.491507,51,153.88546
32.525106,61,154.292191
-11.637114,251,185.907415
71.461402,251,187.96227
20.308752,251,189.992401
8.774227,251,192.395894
-0.734528,251,194.892998
57.707147,251,197.078279
-15.224735,251,199.15042
-9.133534,251,201.177096
58.77892,50,201.629516
14.870566,59,202.082337
-4.147932,251,234.561781
4.649419,251,236.291235
26.667293,125,237.148852
80.215733,251,238.86307
28.771048,69,239.347412
-46.863611,251,241.093502
12.046661,66,241.550185
71.727477,87,242.184962
-30.851517,251,243.94892
-18.233452,251,245.774398
-7.257022,251,277.563805
27.108078,71,278.056966
7.964363,251,279.774673
24.263487,84,280.36474
85.571216,251,282.076458
65.289775,251,283.862651
-24.894755,251,285.64873
23.651137,64,286.117172
21.549471,61,286.602796
13.20359,251,288.374711
33.328055,251,290.134421
4.910845,251,322.103791
32.995985,76,322.614124
21.138581,251,324.315712
56.344229,251,326.095329
71.94958,51,326.426841
64.517474,251,328.225857
24.518278,45,328.530431
60.767951,251,330.329743
57.387531,54,330.751659
-1.908351,46,331.081715
8.371793,251,332.922615
88.170735,168,334.134718
47.305828,48,334.496139
37.274329,61,334.959273
77.258109,251,366.096
33.731681,69,366.55318
78.201407,251,368.416342
-13.424089,251,370.135459
32.322701,74,370.667456
40.832089,72,371.200428
42.979119,251,372.863123
54.744041,251,374.710486
29.585588,251,376.560688
27.891781,56,376.951091
65.119926,251,378.769105
46.236246,251,410.25767
58.812042,251,411.92851
59.500617,251,413.607489
101.513582,251,415.314492
147.406847,251,417.490009
9.075672,168,418.669941
8.998961,136,419.642836
34.679924,139,420.607928
48.967737,95,421.272348
17.976504,50,421.634031
87.603164,251,423.354165
49.381531,251,454.112933
43.699104,72,454.56193
59.88217,251,456.268134
42.58039,64,456.671422
132.878643,162,457.826571
15.667329,251,459.601347
54.884807,251,461.245458
-0.371546,251,463.01877
88.338087,74,463.556638
125.624462,236,465.236471
23.404668,138,466.276053
-6.241628,101,466.96225
40.278937,251,498.432754
61.687982,251,500.417568
62.186133,78,500.96822
47.984657,76,501.528625
57.112105,92,502.184997
-1.335493,57,502.550708
116.620529,251,504.282893
54.733096,251,506.150645
69.577436,251,508.072018
92.531969,64,508.558024
-21.760073,251,510.369924
53.788834,66,510.888672
110.23593,251,537.139199
61.20882,251,538.795347
51.38633,60,539.203315
89.703344,251,540.979304
